01001					
01002					
01003					
01004					
01005					
01006					
01007					
01008					
01009					
01010					
01011					
01012					
01013					
01014					
01015					
01016					
01018					
01019					
01020					
01021					
01023					
01146					
01024					
01147					
01025					
01026					
01028					
01030					
01031					
01032					
01033					
01034					
01035					
01036					
01037					
01148					
01038					
01039					
01041					
01042					
01043					
01044					
01045					
01046					
01047					
01048					
01049					
01050					
01051					
01052					
01053					
01054					
01055					
01056					
01057					
01058					
01059					
01060					
01061					
01062					
01063					
01064					
01149					
01065					
01066					
01067					
01068					
01070					
01071					
01072					
01073					
01074					
01075					
01076					
01069					
01077					
01078					
01079					
01150					
01080					
01081					
01082					
01083					
01151					
01152					
01084					
01153					
01085					
01086					
01087					
01088					
01154					
01089					
01155					
01090					
01091					
01092					
01093					
01094					
01095					
01096					
01097					
01098					
01099					
01100					
01101					
01102					
01103					
01104					
01105					
01106					
01107					
01108					
01109					
01110					
01156					
01111					
01112					
01113					
01114					
01157					
01158					
01159					
01160					
01115					
01116					
01117					
01118					
01119					
01120					
01121					
01161					
01122					
01123					
01124					
01125					
01126					
01127					
01128					
01129					
01130					
01131					
01162					
01132					
01163					
01133					
01164					
01134					
01165					
01135					
01136					
01137					
01138					
01139					
01140					
01141					
01142					
01143					
01166					
02001					
02041					
02002					
02003					
02004					
02042					
02043					
02044					
02005					
02006		9	12	0	0
02007					
02008					
02045		9	12	0	0
02046					
02047					
02009					
02048					
02049					
02010		8	12	0	0
02011					
02012					
02050					
02051					
02052					
02053					
02013					
02014					
02015					
02016					
02017		5	6	10	11
02018					
02019					
02020					
02021					
02054					
02055					
02022					
02023		6	9	0	0
02024					
02025					
02026					
02027					
02028					
02029					
02030					
02031					
02032					
02033					
02034					
02035					
02036					
02037					
02056					
02038					
02057					
02058					
02059					
02060					
02039					
02061					
02040					
02062					
03001					
03002					
03003					
03004					
03005					
03006					
03007					
03008					
03009					
03010					
03011					
03012					
03013					
03014					
03015					
03024					
03025					
03017					
03018					
03019					
03020					
03026					
03027					
03028					
03029					
03022		4	5	0	0
03023					
04001					
04002					
04003					
04004					
04005					
04006					
04007					
04008					
04009					
04010					
04011					
04012					
04074					
04013					
04075					
04014					
04015					
04016					
04017					
04018					
04019					
04020					
04021					
04022					
04076					
04023					
04077					
04024					
04025					
04026					
04027					
04078					
04079					
04080					
04028					
04081					
04029					
04082					
04030					
04083					
04031					
04032					
04033					
04034					
04035					
04036					
04037					
04038					
04039					
04040					
04084					
04085					
04086					
04041					
04042					
04087					
04043					
04044					
04045					
04088					
04046					
04047					
04048					
04049					
04051					
04089					
04052					
04053					
04054					
04055					
04056					
04057					
04090					
04058					
04059					
04060					
04091					
04061					
04062					
04063					
04064					
04092					
04065					
04066					
04067					
04068					
04069					
04070					
04093					
04071					
04072					
04073					
04094					
05001					
05002					
05040					
05003					
05041					
05004					
05005					
05006					
05007					
05008		10	11	0	0
05009					
05010		9	10	0	0
05011					
05012					
05013					
05014					
05015					
05016					
05017					
05018					
05019					
05042					
05020					
05021					
05022					
05023					
05024					
05043					
05025					
05026					
05027					
05028					
05029					
05030					
05031					
05032					
05033					
05034					
05044					
05035					
05045					
05036					
05037					
06001					
06002					
06003					
06004					
06005		3	9	0	0
06006					
06007		4	6	0	0
06008					
06327					
06009					
06328					
06010		6	9	0	0
06011					
06012		3	5	0	0
06013					
06014					
06015		6	8	0	0
06016					
06017					
06018					
06019					
06329					
06330					
06331					
06020		4	6	0	0
06021					
06022					
06023		4	6	0	0
06024					
06025					
06026					
06027					
06028					
06029					
06030					
06031					
06032		6	7	0	0
06033					
06034		3	5	0	0
06035					
06036		3	5	0	0
06037					
06038		3	5	0	0
06039					
06040					
06041					
06042					
06043					
06044					
06045					
06046		7	12	0	0
06047					
06048		7	12	0	0
06049					
06332					
06050					
06051					
06052		1	1	0	0
06053					
06054		11	3	0	0
06055					
